repository_name,date,views,unique_visitors/cloners
mbpol_openmm_plugin,2018-06-11,12,3
mbpol_openmm_plugin,2018-06-12,28,2
mbpol_openmm_plugin,2018-06-13,68,5
mbpol_openmm_plugin,2018-06-14,21,2
mbpol_openmm_plugin,2018-06-15,2,1
mbpol_openmm_plugin,2018-06-16,4,1
mbpol_openmm_plugin,2018-06-17,4,4
mbpol_openmm_plugin,2018-06-18,10,5
mbpol_openmm_plugin,2018-06-19,7,3
mbpol_openmm_plugin,2018-06-20,3,1
mbpol_openmm_plugin,2018-06-21,95,5
mbpol_openmm_plugin,2018-06-22,30,4
mbpol_openmm_plugin,2018-06-23,1,1
